X Filtered Pixel; Y Filtered Pixel; X Filtered Normalized; Y Filtered Normalized; X Raw Normalized; Y Raw Normalized; Distance to Camera in mm; Eye Aspect Ratio (Height/Width); Blinking; Timestamp With Milliseconds; Unix Timestamp In Milliseconds; AOI List; Additional Notes
491;971;0.1918334;0.6747594;0.1523816;0.6966594;754.9;0.2306178;False;24.05.2024 14:06:22:918;1716552382918;;
452;972;0.1766613;0.6750868;0.1108788;0.7025618;760.1;0.2351028;False;24.05.2024 14:06:22:938;1716552382938;;
422;968;0.1648878;0.6725041;0.1022191;0.6262152;764.9;0.2349981;False;24.05.2024 14:06:22:954;1716552382954;;
425;949;0.1663066;0.6595868;0.1836444;0.577482;769.0;0.2362349;False;24.05.2024 14:06:22:984;1716552382984;;
428;902;0.1672551;0.626876;0.1849845;0.480516;775.9;0.2409726;False;24.05.2024 14:06:23:9;1716552383009;;
429;875;0.1678704;0.6077237;0.1848618;0.4804412;782.2;0.2409127;False;24.05.2024 14:06:23:26;1716552383026;;
401;861;0.1567909;0.5981548;0.09886436;0.5145978;788.0;0.2433937;False;24.05.2024 14:06:23:46;1716552383046;;
399;750;0.1561368;0.5208346;0.1489005;0.3049559;791.9;0.2462264;False;24.05.2024 14:06:23:70;1716552383070;;
398;689;0.1557218;0.4788959;0.1489026;0.3049628;795.4;0.2462192;False;24.05.2024 14:06:23:87;1716552383087;;
394;677;0.1540993;0.4701771;0.1353059;0.4084168;797.2;0.2490461;False;24.05.2024 14:06:23:107;1716552383107;;
391;668;0.1529969;0.4644702;0.1352831;0.4083762;798.8;0.2490825;False;24.05.2024 14:06:23:122;1716552383122;;
369;669;0.1443923;0.4652503;0.08757348;0.4943728;797.0;0.2518643;False;24.05.2024 14:06:23:142;1716552383142;;
360;657;0.1407304;0.4569061;0.1016625;0.3831343;795.3;0.2518518;False;24.05.2024 14:06:23:158;1716552383158;;
380;672;0.1485489;0.4667628;0.2210565;0.5887582;792.4;0.2468658;False;24.05.2024 14:06:23:178;1716552383178;;
394;682;0.1539234;0.4736852;0.2209762;0.5887659;789.7;0.2467713;False;24.05.2024 14:06:23:194;1716552383194;;
394;700;0.1540121;0.4861731;0.1666935;0.6179507;788.6;0.2482337;False;24.05.2024 14:06:23:212;1716552383212;;
395;711;0.1544039;0.4943944;0.1805825;0.6159219;787.6;0.2481448;False;24.05.2024 14:06:23:229;1716552383229;;
395;718;0.1544959;0.4991252;0.1671419;0.5906482;788.0;0.2490938;False;24.05.2024 14:06:23:248;1716552383248;;
395;725;0.1544323;0.5034776;0.152443;0.5940598;790.4;0.2558762;False;24.05.2024 14:06:23:267;1716552383267;;
395;725;0.1545004;0.5035269;0.1586986;0.5047137;792.5;0.2558586;False;24.05.2024 14:06:23:286;1716552383286;;
435;731;0.1700874;0.5078635;0.2598763;0.5936103;794.4;0.2424295;False;24.05.2024 14:06:23:307;1716552383307;;
438;736;0.171355;0.5112766;0.2037805;0.5972179;796.1;0.2423853;False;24.05.2024 14:06:23:324;1716552383324;;
440;741;0.1719296;0.5152273;0.1949295;0.6016316;798.7;0.2387713;False;24.05.2024 14:06:23:343;1716552383343;;
447;742;0.174834;0.5155843;0.2189754;0.5511554;800.3;0.2479326;False;24.05.2024 14:06:23:363;1716552383363;;
454;743;0.177366;0.5159791;0.2227707;0.5684435;801.8;0.2478676;False;24.05.2024 14:06:23:380;1716552383380;;
454;743;0.1774385;0.5162347;0.1849288;0.5225428;802.3;0.2533475;False;24.05.2024 14:06:23:400;1716552383400;;
454;743;0.177492;0.5164178;0.1848533;0.5225395;802.7;0.2532427;False;24.05.2024 14:06:23:418;1716552383418;;
478;732;0.1870084;0.5089017;0.259703;0.4431375;803.5;0.2505035;False;24.05.2024 14:06:23:439;1716552383439;;
478;728;0.1869814;0.5061273;0.1856014;0.4665759;804.1;0.2496272;False;24.05.2024 14:06:23:458;1716552383458;;
479;677;0.1871461;0.4704006;0.2036198;0.2767167;804.7;0.2495779;False;24.05.2024 14:06:23:472;1716552383472;;
479;632;0.1873139;0.4394817;0.2036134;0.2767134;805.2;0.2495749;False;24.05.2024 14:06:23:487;1716552383487;;
479;592;0.1874982;0.4113262;0.2036506;0.2767315;805.7;0.249593;False;24.05.2024 14:06:23:506;1716552383506;;
480;567;0.1875098;0.3939343;0.197257;0.2956007;806.3;0.2426031;False;24.05.2024 14:06:23:526;1716552383526;;
476;563;0.1862392;0.3914415;0.1632567;0.3601343;806.8;0.2435873;False;24.05.2024 14:06:23:544;1716552383544;;
470;525;0.1839131;0.3647546;0.1475956;0.2123564;807.2;0.2437624;False;24.05.2024 14:06:23:558;1716552383558;;
481;482;0.1881766;0.3352014;0.2404158;0.1932528;805.6;0.2387542;False;24.05.2024 14:06:23:577;1716552383577;;
489;454;0.1912289;0.3157874;0.2404014;0.1932284;804.2;0.2388439;False;24.05.2024 14:06:23:592;1716552383592;;
586;429;0.2292614;0.2979271;0.365013;0.1958945;798.9;0.2402719;False;24.05.2024 14:06:23:610;1716552383610;;
652;410;0.2548774;0.2849787;0.3650094;0.1958875;794.0;0.2402952;False;24.05.2024 14:06:23:627;1716552383627;;
655;412;0.2559653;0.2864388;0.2710812;0.3632143;789.0;0.244355;False;24.05.2024 14:06:23:648;1716552383648;;
747;394;0.2920267;0.2741631;0.4081875;0.1944702;781.3;0.247093;False;24.05.2024 14:06:23:668;1716552383668;;
794;392;0.3105412;0.2723334;0.4020267;0.2445617;774.3;0.247354;False;24.05.2024 14:06:23:682;1716552383682;;
882;397;0.3445823;0.2760946;0.4510022;0.3652652;767.2;0.2472927;False;24.05.2024 14:06:23:702;1716552383702;;
932;401;0.3643369;0.2786893;0.4510489;0.3652048;760.7;0.2474631;False;24.05.2024 14:06:23:717;1716552383717;;
953;396;0.3726263;0.2754225;0.4164917;0.2374125;755.1;0.236875;False;24.05.2024 14:06:23:735;1716552383735;;
967;393;0.3781052;0.2731083;0.416566;0.2373797;750.0;0.2372336;False;24.05.2024 14:06:23:750;1716552383750;;
971;386;0.3793217;0.2681714;0.3900662;0.2148694;743.1;0.2449853;False;24.05.2024 14:06:23:768;1716552383768;;
1014;381;0.3963775;0.2646345;0.4769274;0.2150388;736.8;0.2453842;False;24.05.2024 14:06:23:784;1716552383784;;
1017;355;0.397467;0.2465833;0.4076577;0.1288638;737.8;0.2407719;False;24.05.2024 14:06:23:801;1716552383801;;
1020;340;0.3987233;0.2362371;0.4129343;0.1401077;738.7;0.2413439;False;24.05.2024 14:06:23:817;1716552383817;;
1023;337;0.3997678;0.2341662;0.4112123;0.1999187;740.2;0.2401568;False;24.05.2024 14:06:23:835;1716552383835;;
1025;334;0.4005539;0.2325861;0.4113172;0.1998834;741.6;0.240622;False;24.05.2024 14:06:23:850;1716552383850;;
1027;332;0.4012352;0.2311826;0.4112893;0.1998926;742.8;0.2404978;False;24.05.2024 14:06:23:866;1716552383866;;
1028;333;0.4018716;0.2312517;0.410329;0.2361947;737.7;0.243539;False;24.05.2024 14:06:23:886;1716552383886;;
1029;333;0.4023084;0.2312996;0.4104429;0.2360538;733.1;0.2440813;False;24.05.2024 14:06:23:901;1716552383901;;
1028;338;0.401644;0.2348222;0.3660198;0.3017184;735.1;0.2433055;False;24.05.2024 14:06:23:920;1716552383920;;
